,ReservationNumber,PromotionCodeOrig,DateCreated,PromotionCode,Codigo,fecha de envio blast,Reusado
0,4858450,*CELEBRATE45,06/03/2019,CELEBRATE45,CELEBRATE45,15/02/2019,0.0
1,4786349,Happy45,17/12/2018,,,,
2,4874736,FP,21/03/2019,,,,
3,4813316,SC,22/01/2019,,,,
4,4847240,*CELEBRATE45,24/02/2019,CELEBRATE45,CELEBRATE45,15/02/2019,0.0
5,4860913,*CELEBRATE45,08/03/2019,CELEBRATE45,CELEBRATE45,15/02/2019,0.0
6,4877556,UA,25/03/2019,,,,
7,4805290,FP,12/01/2019,,,,
8,4790304,Happy45,21/12/2018,,,,
9,4884433,OC | UA,01/04/2019,,,,
10,4830162,UA,05/02/2019,,,,
11,4833498,UA,08/02/2019,,,,
12,4847195,UA,24/02/2019,,,,
13,4788740,UA,19/12/2018,,,,
14,4866189,OC | WeekReactTwo,13/03/2019,,,,
15,4883142,*CELEBRATE45,31/03/2019,CELEBRATE45,CELEBRATE45,15/02/2019,0.0
16,4882509,OC,29/03/2019,,,,
17,4880620,OC | WeekReactTwo,28/03/2019,,,,
18,4842849,OC,19/02/2019,,,,
19,4885396,*CELEBRATE45 | OC,02/04/2019,CELEBRATE45,CELEBRATE45,15/02/2019,0.0
20,4860176,*CELEBRATE45,07/03/2019,CELEBRATE45,CELEBRATE45,15/02/2019,0.0
21,4832682,Happy45,07/02/2019,,,,
22,4862496,OC | WeekReactTwo,09/03/2019,,,,
23,4863355,*CELEBRATE45,11/03/2019,CELEBRATE45,CELEBRATE45,15/02/2019,0.0
24,4792435,Happy45,27/12/2018,,,,
25,4857861,FP,05/03/2019,,,,
26,4798888,UA,05/01/2019,,,,
27,4855565,*CELEBRATE45 | VTANVA,02/03/2019,CELEBRATE45,CELEBRATE45,15/02/2019,0.0
28,4848269,*CELEBRATE45,25/02/2019,CELEBRATE45,CELEBRATE45,15/02/2019,0.0
29,4844404,FP | OC,20/02/2019,,,,
30,4861780,*CELEBRATE45,08/03/2019,CELEBRATE45,CELEBRATE45,15/02/2019,0.0
31,4785268,JingleJingle,14/12/2018,,,,
